1.118182062636961849e+00 1.770627127729278882e+01 8.981222620639593757e+00
1.373905770350600575e+00 1.623945901251804713e+01 8.751148223399194848e+00
1.688194239047310585e+00 1.449603226822373969e+01 8.614352039677351414e+00
2.074227982823952932e+00 1.303310679312389198e+01 8.381646198298133399e+00
2.548023244834575429e+00 1.145823786025868429e+01 8.464949371128517086e+00
3.129910901910118781e+00 1.008641459791974171e+01 8.150487371984260321e+00
3.845946257126498846e+00 8.492670273003106729e+00 7.995967841107118446e+00
4.725869493110391950e+00 7.561744319776320111e+00 8.002294139339149126e+00
5.805191732570477825e+00 6.464863773692446358e+00 7.790398321750141797e+00
7.131914690612458863e+00 5.125056463623618441e+00 7.496004524079968867e+00
8.763416335831070825e+00 4.181013856772448634e+00 7.217817172041009144e+00
1.076614741713865442e+01 3.331662957490610921e+00 6.908060959063039519e+00
1.322942278657354187e+01 2.614834005402499884e+00 6.645848578358855008e+00
1.625216953908299189e+01 1.980109912083101165e+00 6.275994991592335204e+00
1.996820966824307320e+01 9.414014993606834025e-01 5.684544338160942623e+00
2.453443435624506108e+01 3.355656936403406121e-01 5.059261692717619496e+00
3.014475715765206587e+01 -1.378586855505492537e-01 4.308987078441324670e+00
3.703645462112437059e+01 -2.905359773097782039e-01 3.546607048124161388e+00
4.550672756815197317e+01 -6.170523619945100791e-01 3.238930884475515803e+00
